source_key,repository,collection,source_type,source_rel,bytes,words,sha256,inventory_status
ZhJpBook:books/bel-ami/markdown/en.md,ZhJpBook,bel-ami,book-markdown,books/bel-ami/markdown/en.md,283851,51506,be1b86e8d934fb08c4d19a42ec4a287c9901d305c402b6e18bd2de4f108f2c98,catalogued-not-substantively-read
ZhJpBook:books/berklee-music-theory-book-1/markdown/en.md,ZhJpBook,berklee-music-theory-book-1,book-markdown,books/berklee-music-theory-book-1/markdown/en.md,44690,8012,1d9a7623cead9b5117fc367ab1afdaaccfdef7fe8d59dfb1a347720d5f4e405d,catalogued-not-substantively-read
ZhJpBook:books/bhagavad-gita/markdown/en.md,ZhJpBook,bhagavad-gita,book-markdown,books/bhagavad-gita/markdown/en.md,109377,18907,ea29eae2fec191785ea9ec1669624ef1d9ff3f825becf9e95b0bba50c834b9d5,catalogued-not-substantively-read
ZhJpBook:books/bible/markdown/bible-wikisource.md,ZhJpBook,bible,book-markdown,books/bible/markdown/bible-wikisource.md,8291642,1110793,e4b7819e27f1a7fb3fe48b655eee7d931d319ce3f2b36d4eaa4e14af29b66f12,catalogued-not-substantively-read
ZhJpBook:books/black-holes-baby-universes/markdown/en.md,ZhJpBook,black-holes-baby-universes,book-markdown,books/black-holes-baby-universes/markdown/en.md,281028,49222,c446981d43ca9ac53d9c9a70bf210918a5fbe824a0348a31add8a02966488ab7,catalogued-not-substantively-read
ZhJpBook:books/border-town/markdown/en.md,ZhJpBook,border-town,book-markdown,books/border-town/markdown/en.md,219545,39695,b83aaca5b01d6738bbba4f049d4ff8a65d3f9a4a77e318bfc91af4871c5f8173,catalogued-not-substantively-read
ZhJpBook:books/botchan/markdown/en.md,ZhJpBook,botchan,book-markdown,books/botchan/markdown/en.md,288638,54851,7605a85d434f45ad8109d1e0739904cd828d40261cfda752fd1c2ed65e4f7788,catalogued-not-substantively-read
ZhJpBook:books/botchan/markdown/ja.md,ZhJpBook,botchan,book-markdown,books/botchan/markdown/ja.md,265065,5727,eabc926d792b2ac04ca25f7b54c55d29e3c3c1994aa7e81cf4a6f9da51068d38,catalogued-not-substantively-read
ZhJpBook:books/botchan/markdown/zh.md,ZhJpBook,botchan,book-markdown,books/botchan/markdown/zh.md,242035,8638,2862e86aa93624015626b0eebd4c7c4dc2d9f6c65fe3b337f32db34aa27eb670,catalogued-not-substantively-read
ZhJpBook:books/boule-de-suif/markdown/en.md,ZhJpBook,boule-de-suif,book-markdown,books/boule-de-suif/markdown/en.md,84071,14441,3da9df0ce2996217b2d77a6fbb7ba83dc8008b1df75e542e81890ed3e3cd099d,catalogued-not-substantively-read
ZhJpBook:books/brief-answers-big-questions/markdown/en.md,ZhJpBook,brief-answers-big-questions,book-markdown,books/brief-answers-big-questions/markdown/en.md,240885,42186,3453858beb6477b5372d3b46ecd20aafe82293a5ea2872ec1e697ca114aa2074,catalogued-not-substantively-read
ZhJpBook:books/brief-answers-big-questions-complete-structure-repair/markdown/en.md,ZhJpBook,brief-answers-big-questions-complete-structure-repair,book-markdown,books/brief-answers-big-questions-complete-structure-repair/markdown/en.md,248297,43552,373d5bc776e96b4ddfddb51bd47a7f23c58ee0c21c754480845b840da0a16395,catalogued-not-substantively-read
ZhJpBook:books/brothers-karamazov/markdown/en.md,ZhJpBook,brothers-karamazov,book-markdown,books/brothers-karamazov/markdown/en.md,709464,129659,32dee3883c9d591d18a5a507df2b32af885cb6055256172ba500652efc0ad641,catalogued-not-substantively-read
ZhJpBook:books/buddenbrooks/markdown/en.md,ZhJpBook,buddenbrooks,book-markdown,books/buddenbrooks/markdown/en.md,1327221,234768,cad72f8def415e05196429042c5a07350ee3b112e7125698c0900943f4870d03,catalogued-not-substantively-read
ZhJpBook:books/byron-selected-poems/markdown/en.md,ZhJpBook,byron-selected-poems,book-markdown,books/byron-selected-poems/markdown/en.md,1222911,224642,bd7cef1be8ddd11e64d069660705035db433e46921db1636db145f5c59be701e,catalogued-not-substantively-read
ZhJpBook:books/byron-selected-poems/markdown/zh.md,ZhJpBook,byron-selected-poems,book-markdown,books/byron-selected-poems/markdown/zh.md,168857,5723,f72ebbfecceb705417e8073c6b86bd7a00730d477fa081f5c2bef8f7c37a422a,catalogued-not-substantively-read
ZhJpBook:books/call-to-arms-lu-xun/markdown/en.md,ZhJpBook,call-to-arms-lu-xun,book-markdown,books/call-to-arms-lu-xun/markdown/en.md,281722,51083,5e8c8381cb275cc1b36769067bd7a2c95ab7630afb65a66586884d57ea48c5c4,catalogued-not-substantively-read
ZhJpBook:books/cao-cao-wei-wudi-ji/markdown/wenyan.md,ZhJpBook,cao-cao-wei-wudi-ji,book-markdown,books/cao-cao-wei-wudi-ji/markdown/wenyan.md,75193,4343,f58ab5d3fb5168b874762bd1fced80644636016a2d46f13ef434884c4d10ba20,catalogued-not-substantively-read
ZhJpBook:books/cao-pi-wei-wendi-ji/markdown/wenyan.md,ZhJpBook,cao-pi-wei-wendi-ji,book-markdown,books/cao-pi-wei-wendi-ji/markdown/wenyan.md,20770,1156,b1e5fd744d577fa15de36ba3cf5f9dc92d9ed8b1b6643e0d8806f0c10a2407ab,catalogued-not-substantively-read
ZhJpBook:books/cao-zhi-cao-zijian-ji/markdown/wenyan.md,ZhJpBook,cao-zhi-cao-zijian-ji,book-markdown,books/cao-zhi-cao-zijian-ji/markdown/wenyan.md,128020,7171,fcabdc80562ad00dfe356e0d147156e87425a5c3bd2efe3e8ddbee19627211f1,catalogued-not-substantively-read
ZhJpBook:books/chess-story-zweig/markdown/en.md,ZhJpBook,chess-story-zweig,book-markdown,books/chess-story-zweig/markdown/en.md,111271,19612,1e4588c94732aa0f407257237b277b26102854f5a594e6868486bf29185fa0da,catalogued-not-substantively-read
ZhJpBook:books/chronicle-lord-nobunaga/markdown/en.md,ZhJpBook,chronicle-lord-nobunaga,book-markdown,books/chronicle-lord-nobunaga/markdown/en.md,1073920,181412,274dfc39117954ad30c249c8d6c8ebf0d8eeeac52b30f1637eeab34d5072a316,catalogued-not-substantively-read
ZhJpBook:books/chuci/markdown/wenyan.md,ZhJpBook,chuci,book-markdown,books/chuci/markdown/wenyan.md,97594,4744,2dcce5e2ad14cb6c0f8f51348eb17c69eec37c02cbdd440c2f65dc38ea5c5a05,catalogued-not-substantively-read
