record_id,series,sequence,title,youtube_id,transcript_rel,subtitle_rel,media_rel,media_match,media_candidates,transcript_words,last_timestamp,duration_seconds,transcript_sha256,subtitle_sha256,video_family_size,canonical_video_record
school-of-hard-knocks/entrepreneurship/127-AF945BL9xFI,school-of-hard-knocks/entrepreneurship,127,How to have a life-work balance？,AF945BL9xFI,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/127 - How to have a life-work balance？ [AF945BL9xFI].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/127 - How to have a life-work balance？ [AF945BL9xFI].srt,lazyearn/school-of-hard-knocks/entrepreneurship/127 - How to have a life-work balance？ [AF945BL9xFI].webm,exact-source-path,1,229,"00:00:55,120",55.12,34fdc0327173a82d441149d6fd41848648ce6a06cb2ff612adf4a7c56089c541,729822237a0464d501edba4ec28fe769fcc1a2a3225f90f3b48ab27d5beb13b5,1,yes
school-of-hard-knocks/entrepreneurship/128-1Wh-_7xDprg,school-of-hard-knocks/entrepreneurship,128,How is important to take risks to become successful？,1Wh-_7xDprg,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/128 - How is important to take risks to become successful？ [1Wh-_7xDprg].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/128 - How is important to take risks to become successful？ [1Wh-_7xDprg].srt,lazyearn/school-of-hard-knocks/entrepreneurship/128 - How is important to take risks to become successful？ [1Wh-_7xDprg].webm,exact-source-path,1,200,"00:00:48,140",48.14,1bfee4e8252e5226bc5bbcd9a67029c990bb1a8cee93940eed19f548970857f8,e29c0b7ce8dc08fefa7df2d2f14d00186dd6563515cc7004a6417e5ed28f1269,1,yes
school-of-hard-knocks/entrepreneurship/129-pU2d_sZVaww,school-of-hard-knocks/entrepreneurship,129,How to crush sales？,pU2d_sZVaww,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/129 - How to crush sales？ [pU2d_sZVaww].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/129 - How to crush sales？ [pU2d_sZVaww].srt,lazyearn/school-of-hard-knocks/entrepreneurship/129 - How to crush sales？ [pU2d_sZVaww].webm,exact-source-path,1,186,"00:00:46,960",46.96,b9f8918c61fb32c92776366ffc5f4a1622b8a801d85f1d54a7e97800add33037,a7fca066370c125fc548de437f11e29d582be81ae1a90ec7c822ded967260cf3,1,yes
school-of-hard-knocks/entrepreneurship/130-cldjQSOMmNg,school-of-hard-knocks/entrepreneurship,130,How to qualify a good company to invest in？,cldjQSOMmNg,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/130 - How to qualify a good company to invest in？ [cldjQSOMmNg].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/130 - How to qualify a good company to invest in？ [cldjQSOMmNg].srt,lazyearn/school-of-hard-knocks/entrepreneurship/130 - How to qualify a good company to invest in？ [cldjQSOMmNg].webm,exact-source-path,1,151,"00:00:40,820",40.82,b75f8a30e7a48c4230baeaa504e5bd01d2a35ec60b843b8cbc2010f8494d6b6f,c587bacc97ac0f415d540c26345ff0cdf3f5aea683f00bc0cc143fb03f033fc4,1,yes
school-of-hard-knocks/entrepreneurship/131-ABAPpZ5vl8A,school-of-hard-knocks/entrepreneurship,131,How to have an impactful role in the company？,ABAPpZ5vl8A,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/131 - How to have an impactful role in the company？ [ABAPpZ5vl8A].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/131 - How to have an impactful role in the company？ [ABAPpZ5vl8A].srt,lazyearn/school-of-hard-knocks/entrepreneurship/131 - How to have an impactful role in the company？ [ABAPpZ5vl8A].webm,exact-source-path,1,212,"00:00:57,620",57.62,80dda0f87a4be89052968c564459e8b67171089ba9e77f7fd7357f059914fe8c,dfb6eeee61099d7fcb6dbf450af10c2d16717ad5fbab12e3893ffe9f216e4dc1,1,yes
school-of-hard-knocks/entrepreneurship/132-KAgLCV--VMI,school-of-hard-knocks/entrepreneurship,132,How to Become a successful author？,KAgLCV--VMI,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/132 - How to Become a successful author？ [KAgLCV--VMI].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/132 - How to Become a successful author？ [KAgLCV--VMI].srt,lazyearn/school-of-hard-knocks/entrepreneurship/132 - How to Become a successful author？ [KAgLCV--VMI].webm,exact-source-path,1,176,"00:00:45,040",45.04,2ffaa8a62ffefeed155ae2eb3afe33e16d1a04273790fa6b1155261ab3835d60,1abaa7b3a995c4ae5adb24e88212ceee8663f5e92fe84e4f2e85b9b4c755779e,1,yes
school-of-hard-knocks/entrepreneurship/133-KTcY1cXmcIk,school-of-hard-knocks/entrepreneurship,133,How to overcome the career biggest challenge of a Healthcare Technology CEO？,KTcY1cXmcIk,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/133 - How to overcome the career biggest challenge of a Healthcare Technology CEO？ [KTcY1cXmcIk].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/133 - How to overcome the career biggest challenge of a Healthcare Technology CEO？ [KTcY1cXmcIk].srt,lazyearn/school-of-hard-knocks/entrepreneurship/133 - How to overcome the career biggest challenge of a Healthcare Technology CEO？ [KTcY1cXmcIk].webm,exact-source-path,1,119,"00:00:31,280",31.28,00c006ab7a4bab4b5caa96047ad237059a8d3d67159294ea6d36e19efdd23b64,c44f39509c745bb94c6d0f83a9dd8ed49daeb3f4f5ca95c68363830228f6847c,1,yes
school-of-hard-knocks/entrepreneurship/134-49rEHJ3nMwY,school-of-hard-knocks/entrepreneurship,134,How did you become a Healthcare Technology CEO？,49rEHJ3nMwY,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/134 - How did you become a Healthcare Technology CEO？ [49rEHJ3nMwY].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/134 - How did you become a Healthcare Technology CEO？ [49rEHJ3nMwY].srt,lazyearn/school-of-hard-knocks/entrepreneurship/134 - How did you become a Healthcare Technology CEO？ [49rEHJ3nMwY].webm,exact-source-path,1,198,"00:00:50,600",50.6,92735cc6a4eda6e09065b0142eb984084226638a66897eeaf6a6d76e4ebf2cc0,c0a1f69bee747bd06d3550ca124c30e3bdd94c400f88ce1f4dbfe17059028109,1,yes
school-of-hard-knocks/entrepreneurship/145-C2lgZOIPp8c,school-of-hard-knocks/entrepreneurship,145,Asking Orlando Millionaires How They Got Rich,C2lgZOIPp8c,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/145 - Asking Orlando Millionaires How They Got Rich [C2lgZOIPp8c].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/145 - Asking Orlando Millionaires How They Got Rich [C2lgZOIPp8c].srt,lazyearn/school-of-hard-knocks/hard-knocks-interviews/112 - Asking Orlando Millionaires How They Got Rich [C2lgZOIPp8c].mkv,exact-source-path,1,3230,"00:12:43,140",763.14,6fcc23aa07836328246b26e2113de7fb297489eb4f8f91532f8ffc4e8ed833a4,da85dd3a4f2978b0753fc9e80bcd410dbf1504505d94d90178a1e34871c76599,2,yes
school-of-hard-knocks/entrepreneurship/145-e38FC689mXA,school-of-hard-knocks/entrepreneurship,145,5 SKILLS Every Young Man Should Know in 2023,e38FC689mXA,markdown/lazyearn/school-of-hard-knocks/entrepreneurship/145 - 5 SKILLS Every Young Man Should Know in 2023 [e38FC689mXA].md,subtitles/lazyearn/school-of-hard-knocks/entrepreneurship/145 - 5 SKILLS Every Young Man Should Know in 2023 [e38FC689mXA].srt,lazyearn/school-of-hard-knocks/entrepreneurship/145 - 5 SKILLS Every Young Man Should Know in 2023 [e38FC689mXA].mkv,exact-source-path,1,1540,"00:07:49,290",469.29,ad1941599b591cf85f7ec5cca1ac39fa76e18738995768c71778e64f53b7b342,d87aa5b104c6c467a355fdbcf4e2ff28e46785304b4cdb740eda84de35469e88,1,yes
