youtube_id,family_size,record_ids,series,titles
pBjoezYFA0Y,2,school-of-hard-knocks/entrepreneurship/096-pBjoezYFA0Y;school-of-hard-knocks/hard-knocks-interviews/098-pBjoezYFA0Y,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Millionaires How They Got RICH! (Austin);Asking Millionaires How They Got RICH! (Austin)
pTifbfUnsH8,2,school-of-hard-knocks/10-questions-with-a-millionaire/018-pTifbfUnsH8;school-of-hard-knocks/entrepreneurship/166-pTifbfUnsH8,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship,From Minimum Wage to Real Estate Millionaire;From Minimum Wage to Real Estate Millionaire
prPvzJwgHqg,3,school-of-hard-knocks/10-questions-with-a-millionaire/007-prPvzJwgHqg;school-of-hard-knocks/entrepreneurship/089-prPvzJwgHqg;school-of-hard-knocks/hard-knocks-interviews/090-prPvzJwgHqg,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,How He Built A $200 Million∕Year Security Company;How He Built A $200 Million∕Year Security Company;How He Built A $200 Million⧸Year Security Company
q8u9vs2xjg4,2,school-of-hard-knocks/entrepreneurship/039-q8u9vs2xjg4;school-of-hard-knocks/hard-knocks-interviews/040-q8u9vs2xjg4,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Meet the Billionaire Who Created LinkedIn (Then Sold It for $26B);Meet the Billionaire Who Created LinkedIn (Then Sold It for $26B)
qQIKf7YQBbA,2,school-of-hard-knocks/entrepreneurship/057-qQIKf7YQBbA;school-of-hard-knocks/hard-knocks-interviews/058-qQIKf7YQBbA,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Billionaires How They Got Rich! (Beverly Hills);Asking Billionaires How They Got Rich! (Beverly Hills)
sExOe8q1QBc,2,school-of-hard-knocks/entrepreneurship/075-sExOe8q1QBc;school-of-hard-knocks/hard-knocks-interviews/076-sExOe8q1QBc,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Scottsdale Millionaires How They Got Rich;Asking Scottsdale Millionaires How They Got Rich
t8FXPpfkxQY,2,school-of-hard-knocks/entrepreneurship/020-t8FXPpfkxQY;school-of-hard-knocks/hard-knocks-interviews/021-t8FXPpfkxQY,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,A 60 Year Old Millionaire Shares What Actually Made Him RICH!;A 60 Year Old Millionaire Shares What Actually Made Him RICH!
ts5-LCzCUuE,2,school-of-hard-knocks/entrepreneurship/083-ts5-LCzCUuE;school-of-hard-knocks/hard-knocks-interviews/084-ts5-LCzCUuE,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Luxury Shoppers How They Got RICH! (Dallas);Asking Luxury Shoppers How They Got RICH! (Dallas)
uMXIsDecZ3s,2,school-of-hard-knocks/entrepreneurship/042-uMXIsDecZ3s;school-of-hard-knocks/hard-knocks-interviews/043-uMXIsDecZ3s,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Texan Billionaires How They Got Rich!;Asking Texan Billionaires How They Got Rich!
uUwf3HM_bBg,2,school-of-hard-knocks/entrepreneurship/037-uUwf3HM_bBg;school-of-hard-knocks/hard-knocks-interviews/038-uUwf3HM_bBg,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Beverly Hills Billionaires How They Got So RICH!;Asking Beverly Hills Billionaires How They Got So RICH!
